N=C(N)NCCC[C@H](N)C(=O)O
NC(=O)CC[C@H](N)C(=O)O
N[C@@H](CCC(=O)O)C(=O)O
N[C@@H](Cc1c[nH]cn1)C(=O)O
CC[C@H](C)[C@H](N)C(=O)O
CC(C)C[C@H](N)C(=O)O
NCCCC[C@H](N)C(=O)O
CSCC[C@H](N)C(=O)O
N[C@@H](Cc1ccccc1)C(=O)O
O=C(O)[C@@H]1CCCN1
N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
N[C@@H](Cc1ccc(O)cc1)C(=O)O
CC(C)[C@H](N)C(=O)O
C[C@@](O)(CCO)CC(=O)O
C=C(C)CCOP(=O)(O)OP(=O)(O)O
CC(C)=CCOP(=O)(O)OP(=O)(O)O
Nc1ccccc1C(=O)O
O=C(O)C1=C[C@@H](O)[C@@H](O)[C@H](O)C1
CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O
CC(C)=CCC/C(C)=C/COP(=O)(O)OP(=O)(O)O
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O
O=C(/C=C/c1ccc(O)cc1)c1c(O)cc(O)cc1O
O=C(/C=C/c1ccc(O)cc1)c1ccc(O)cc1O
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CCC=C(C)C
O=C(O)/C=C/c1ccc(O)cc1
C=C(O[C@@H]1C=C(C(=O)O)C=C[C@H]1O)C(=O)O
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OC(=O)c2cccc(O)c2O)[C@@H](O)[C@H]1O
C[C@@]1(O)OC[C@H](O)C1(O)O
C[C@@]1(O)OC[C@H](O)C1=O
O=C(O)CC[C@H](O)CC(=O)[CoA]
CC(=O)C(=O)[C@@H](O)COP(=O)(O)O
CC(C)(O)[C@@H](O)C(=O)O
CC[C@@](C)(O)[C@@H](O)C(=O)O
CC(C)(CO)[C@@H](O)C(=O)O
CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)O
C[C@@H](O)C(=O)SC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O
CC[C@](O)(C(C)=O)C(=O)O
CC(=O)[C@](C)(O)C(=O)O
O=C(O)CC[C@H](O)C(=O)O
Nc1c(C(=O)N[C@@H](CC(=O)O)C(=O)O)ncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
CCCCCCC[C@H](O)CC(=O)[CoA]
CCCCCCCCC[C@H](O)CC(=O)[CoA]
CCCCCCCCCCCCC[C@H](O)CC(=O)[CoA]
CCC[C@H](O)CC(=O)[CoA]
CCCCCCCCCCCCCCC[C@H](O)CC(=O)[CoA]
CCCCC[C@H](O)CC(=O)[CoA]
CCCCCCCCCCC[C@H](O)CC(=O)[CoA]
CC[C@H](C)C(=O)C(=O)O
O=C1C[C@@H](C(=O)O)NC(=O)N1
CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)O)OC(=O)CCCCCCCCCCCCC
O=C(O)c1cc(O)c2ccccc2c1O
NCCCCCN
O=C(O)c1ccccc1NCC(=O)[C@H](O)[C@H](O)COP(=O)(O)O
O=C(O)C1CCC=N1
CC(=O)[C@@H](O)[C@H](O)COP(=O)(O)O
CCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)O
C/C(=C\COP(=O)(O)OP(=O)(O)O)CO
CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)O
CCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)O
O=C(O)[C@@H](CO)O[C@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H](O)[C@@H]1O
O=C(O)C1=NC(C(=O)O)CCC1
O=C(O)C1=N[C@H](C(=O)O)CC=C1
