Cc1cc(F)ccc1C(=O)c1ccc(F)cc1
CC(C)(CO)C(=O)O
CSc1nc2ccc(Cl)cc2o1
CC(C)c1cc(N)n(C)n1
O=C(O)c1ccc2c(c1)C(=O)c1cc(C(=O)O)ccc1-2
COc1ccc(O[C@@H]2O[C@@H]3CO[C@@H](c4ccccc4)O[C@H]3[C@H](OCc3ccccc3)[C@H]2N2C(=O)c3ccccc3C2=O)cc1
CCN(c1ccccc1[N+](=O)[O-])S(C)(=O)=O
CCN1CCN(c2ccc(Br)c(Cl)c2)CC1
Cc1cc(C(=O)c2ccc(C)c(Br)c2)ccc1Cl
Brc1ccc2oc3ccc(Br)cc3c2c1
O=C1c2ccccc2C(=O)c2c(Nc3cccc4c3C(=O)c3ccccc3C4=O)cccc21
CCCOc1cc([Mg]Br)ccc1C
CCS(=O)(=O)c1ccc([N+](=O)[O-])cc1Br
Cc1ccc(OCc2ccc(C(=O)NN)cc2)c(C)c1
COc1ccc(CCn2c(C)cc(C(=O)CCl)c2C)cc1OC
O=C(O)c1cnco1
O=C(c1ccc(Oc2ccccc2)cc1)c1cccc(F)c1Cl
CC(C)=CC(=O)C=C(C)C
O=C(OCc1ccccc1)C1CCc2ccccc2N1
Cc1cc(C)n(CC(=O)NN)n1
OCc1nc2ccccc2n1Cc1ccccc1F
NC(=S)Nc1cccc(F)c1F
Fc1ccc(I)c(F)c1
CCN1C(=O)c2ccc(N)cc2C1=O
Cc1ccc(SCCCN)cc1
NC(=S)N(CCCCCC(=O)O)CCCCCC(=O)O
O=c1[nH]cccc1F
CCCCCCCCCCCCCCCCCC(=O)OCC(O)COCC(O)COCC(O)CO
CN(C)C(=O)Oc1ccc(Cl)cc1
COc1c(F)cc([N+](=O)[O-])cc1Br
CN(C(=O)O)C(=O)[C@@H]1CC(N)CN1
O=[N+]([O-])c1ccc(N2CCOCC2)s1
Cc1cc(F)cc(C(=O)c2cccc(C)c2C)c1
CCOc1ccc([N+](=O)[O-])cc1Cl
Nc1cc(Cl)c(C(F)(F)F)cc1[N+](=O)[O-]
CC1CCCC(=O)C1=O
NNC(=O)c1ccc2ccccc2c1
CCOc1ccc([N+](=O)[O-])cc1C=O
[Pd][PH](c1ccccc1)(c1ccccc1)c1ccccc1
Cc1ccn2cc(C(=O)O)nc2c1
N#Cc1cc(-c2ccccc2)ccn1
Cc1nn(C)c(Cl)c1C=O
N#Cc1c2ccccc2nc2ccccc12
CCn1c(SCC(=O)NN)nnc1-c1ccccc1OC(F)F
COC(=O)Cc1cccc(C)c1
C=CCOC(=O)Oc1ccccc1
Cc1cccc2[nH]nnc12
O=C=Nc1ccccc1F
O=c1[nH]c(=O)c2nc[nH]c2[nH]1
Clc1ccccc1NCC1CCCN1
CCNC1CCN(Cc2ccccc2)C1
O=Cc1ccc(C(F)(F)F)cc1Cl
CC(C)(C)n1cccc1
NCc1cn2ccccc2n1
CN(C)C(=O)C(F)(F)F
CCCCC(C)N(CC)C(=O)C(CCCC)(P(=O)(O)O)P(=O)(O)O
CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)C3(F)[C@@H](O)C[C@@]21C
O=C1O[C@H](CO)[C@@H](O)[C@H]1O
CCc1ccc(OCCc2nnc(N)s2)cc1
COc1cc(C(F)(F)F)cc(Cl)c1F
COC(=O)c1c(N2C(=O)C=CC2=O)sc2c1CCC(C(C)(C)C)C2
CCCCCCCCCCCCCOC(=O)CCS
O=C(O)C1CCN(C(=O)c2ccc(Cl)cc2)CC1
CCCCCCCNC
Clc1ccc(Br)cc1OCc1ccccc1
O=C1OC(c2ccccc2)N=C1Cc1ccccc1
CC(C)(C)C=O
C1CCNCC1
CNc1ccc(OC)cc1[N+](=O)[O-]
Cc1cc(CC(=O)O)on1
Cc1ccc([Mg]Br)cc1OCC(C)C
O=C(O)c1ccc(-c2cc(C(=O)O)ccc2F)cc1
O=S(=O)(NC[B-](F)(F)F)c1ccc(Br)cc1
ON=Cc1cc(F)c(F)c(F)c1
Nc1cccc2c(=O)[nH][nH]c(=O)c12
O=C1C=C(S(=O)(=O)[O-])c2ccccc2C1=O
COc1cc(OC)cc(C(=O)c2cc(C)c(C)cc2C)c1
CC(=O)OC(C)C(C)=O
CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1
COC(=O)c1cccc(-c2ccc(OC)cc2)c1
CN(C)C=C(C#N)C(=O)c1ccccc1Br
CC1(C)[C@@H]2CCC13CS(=O)(=O)N1OC13C2
Brc1ccc(C2CCCCN2)cc1
C=CCc1ccc(F)c(C)c1
COc1ccc2cc(C(=O)C=O)ccc2c1
CCc1ccc(C(=O)c2ccc(OC)cc2OC)cc1
CN(C)c1cncc(Br)c1
CCN(CC)C(C#N)c1ccc(C)cc1
Cc1ccc(S(=O)(=O)NCCCC[C@H](N)C(=O)O)cc1
OC1OC[C@H](O)[C@H](O)C1O
O=C(O)CCC1C(=O)OCN1C(=O)OCc1ccccc1
CC1(C)COC(=O)C1O
CC(=O)OC[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H](C=O)OC(C)=O
CCN(CC)CCCC#N
Clc1ncc2c(I)cc[nH]c1-2
Nc1cccc(C(=O)Nc2cccc(C(F)(F)F)c2)c1
COc1cnc(N)cn1
FC(F)(F)C(F)(F)C(F)(F)CSCc1ccccc1
ClCC(CCl)(CCl)CCl
CC(=O)c1cn(Cc2ccc(Cl)nc2)c2ccccc12
Cc1ccc(NS(=O)(=O)c2ccc(N)cc2)cc1
CCC(C)=NO[Si](C)(ON=C(C)CC)ON=C(C)CC
OCc1cc(F)cc(F)c1
Cc1ccc(C(O)c2ccc(C(C)(C)C)cc2)cc1
Sc1nccc(C23CC4CC(CC(C4)C2)C3)n1
c1ccoc1
COc1ccc(C=C2N=C(SC)SC2=O)cc1Br
COc1c(C)cc(P(c2cc(C)c(OC)c(C)c2)c2cc(C)c(OC)c(C)c2)cc1C
N#Cc1ccc(F)c(Cl)c1
CC(C)(C)c1cc(CCC(=O)OCCSCCOC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O
CCCCCSCCCCC
